,index,Movie,P_Genre,S_Genre,T_Genre,Cluster_Id
1304,1319,escape from l.a.,1,5,11,18
1305,1320,news of the world,1,5,0,260
1306,1321,the guardians of the galaxy holiday special,1,5,3,4
1307,1322,george of the jungle,1,5,3,4
1308,1323,three kings,1,5,3,4
1309,1324,the sum of all fears,1,0,6,88
1310,1325,xxx,1,5,6,262
1311,1326,home alone 3,1,6,14,45
1312,1327,die hard: with a vengeance,1,5,6,262
1313,1328,wicked - part one,1,5,17,51
1314,1329,you only live twice,1,5,6,262
1315,1330,the lego batman movie,3,1,5,5
1316,1331,the do-over,1,5,3,4
1317,1332,out of the furnace,1,14,0,269
1318,1333,cutthroat island,1,5,3,4
1319,1334,how to train your dragon 2,3,1,5,5
1320,1335,underworld: rise of the lycans,1,15,6,25
1321,1336,street fighter,1,5,3,4
1322,1337,the old guard 2,1,5,15,275
1323,1338,47 ronin,1,0,15,47
1324,1339,death wish,1,14,0,269
1325,1340,kaduva,1,0,6,88
1326,1341,streets of fire,1,14,0,269
1327,1342,the huntsman: winter's war,1,5,0,260
1328,1343,cliffhanger,1,5,6,262
1329,1344,sand castle,1,0,16,123
1330,1345,we were soldiers,1,0,2,37
1331,1346,crocodile dundee,1,5,3,4
1332,1347,from russia with love,1,5,6,262
1333,1348,it's a mad mad mad mad world,1,5,3,4
1334,1349,tides,1,5,11,18
1335,1350,miami vice,1,5,14,257
1336,1351,angry birds,3,1,5,5
1337,1352,journey to the center of the earth,1,5,17,51
1338,1353,pan,1,5,3,4
1339,1354,project power,1,14,11,100
1340,1355,push,1,11,6,42
1341,1356,snakes on a plane,1,5,14,257
1342,1357,desperado,1,14,6,1
1343,1358,captain america 4,1,5,11,18
1344,1359,wild wild west,1,6,11,401
1345,1360,enemy at the gates,1,0,16,123
1346,1361,chronicle,1,0,11,285
1347,1362,domino,1,13,14,150
1348,1363,vikram vedha,1,14,0,269
1349,1364,pacific rim: uprising,1,5,11,18
1350,1365,bloodshot,1,5,11,18
1351,1366,conan the destroyer,1,5,15,275
1352,1367,the living daylights,1,5,6,262
1353,1368,innerspace,1,5,3,4
1354,1369,devotion,1,0,16,123
1355,1370,never back down,1,0,7,35
1356,1371,akinjeon,1,14,6,1
1357,1372,the chronicles of narnia: prince caspian,1,5,17,51
1358,1373,white house down,1,0,6,88
1359,1374,blue beetle,1,5,11,18
1360,1375,deja vu,1,14,11,100
1361,1376,the cannonball run,1,6,7,214
1362,1377,the ice road,1,5,6,262
1363,1378,colombiana,1,0,6,88
1364,1379,jupiter ascending,1,5,11,18
1365,1380,bright,1,15,6,25
1366,1381,the big doll house,1,0,6,88
1367,1382,loin du périph,1,6,14,45
1368,1383,the man with the golden gun,1,5,6,262
1369,1384,the next three days,1,14,0,269
1370,1385,moonraker,1,5,11,18
1371,1387,the french connection,1,14,0,269
1372,1388,tank girl,1,6,11,401
1373,1389,s.w.a.t.,1,5,14,257
1374,1390,super,1,6,14,45
1375,1391,the losers,1,5,3,4
1376,1392,22 jump street,1,6,14,45
1377,1393,kung fury: the movie,1,6,14,45
1378,1394,the great wall,1,5,15,275
1379,1395,the saint,1,5,4,497
1380,1396,the adventures of sharkboy and lavagirl 3-d,1,5,3,4
1381,1397,9,3,1,5,5
1382,1398,ghostbusters ii,1,6,15,105
1383,1399,ip man,1,13,0,112
1384,1400,in the line of fire,1,14,0,269
1385,1401,the interview,1,5,3,4
1386,1402,spy game,1,14,6,1
1387,1403,mighty morphin power rangers: the movie,1,5,17,51
1388,1404,star trek ii: the wrath of khan,1,5,11,18
1389,1405,superhero movie,1,6,11,401
1390,1406,the warriorr,1,14,0,269
1391,1407,knowing,1,10,11,134
1392,1408,thunder force,1,5,3,4
1393,1409,hitman,1,14,6,1
1394,1410,takers,1,14,6,1
1395,1411,mad max beyond thunderdome,1,5,11,18
1396,1412,maze runner: the scorch trials,1,5,11,18
1397,1413,shoot 'em up,1,6,6,138
1398,1414,the dark tower,1,5,15,275
1399,1415,"10,000 bc",1,5,0,260
1400,1416,against all odds,1,5,14,257
1401,1417,body of lies,1,0,6,88
1402,1418,clear and present danger,1,14,0,269
1403,1419,jungle,1,5,13,180
1404,1420,the electric state,1,5,0,260
1405,1421,midnight run,1,6,14,45
1406,1422,the life aquatic with steve zissou,1,5,3,4
1407,1423,khuda haafiz,1,14,0,269
1408,1424,the net,1,14,0,269
1409,1425,sweet girl,1,0,6,88
1410,1426,ghost rider: spirit of vengeance,1,15,6,25
1411,1427,crank,1,14,6,1
1412,1428,wild hogs,1,5,3,4
1413,1429,æon flux,1,5,11,18
1414,1430,guns akimbo,1,6,14,45
1415,1431,beverly hills cop iii,1,6,14,45
1416,1432,dante's peak,1,5,6,262
1417,1433,the iron giant,3,1,5,5
1418,1434,wolf hound,1,5,16,197
1419,1435,taxi,1,6,14,45
1420,1436,once upon a time in mexico,1,14,6,1
1421,1437,batoru rowaiaru,1,5,0,260
1422,1438,superman ii,1,5,11,18
1423,1439,clean,1,14,0,269
1424,1440,xxx: return of xander cage,1,5,6,262
1425,1441,speed 2: cruise control,1,5,14,257
1426,1442,mechanic: resurrection,1,5,14,257
1427,1443,cobra,1,14,6,1
1428,1444,howard the duck,1,5,3,4
1429,1445,grimsby,1,5,3,4
1430,1446,gangster squad,1,14,0,269
1431,1448,the man in the iron mask,1,5,0,260
1432,1449,the last dragon,1,6,0,137
1433,1450,3 days to kill,1,0,6,88
1434,1451,machete kills,1,14,6,1
1435,1452,the sea beast,3,5,3,2
1436,1453,minions: the rise of gru,3,5,3,2
1437,1454,sing 2,3,5,3,2
1438,1455,barbie,5,6,15,41
1439,1456,the bob's burgers movie,3,5,3,2
1440,1457,the bad guys,3,5,3,2
1441,1458,ghostbusters: afterlife,5,6,15,41
1442,1459,interstellar,5,0,11,125
1443,1460,harry potter and the sorcerer's stone,5,16,15,66
1444,1461,luck,3,5,3,2
1445,1462,minions,3,5,3,2
1446,1463,the goonies,5,6,17,13
1447,1464,back to the future,5,6,11,33
1448,1465,despicable me,3,5,3,2
1449,1466,deliverance,5,0,6,145
1450,1467,chip 'n dale: rescue rangers,3,5,3,2
1451,1468,inglourious basterds,5,0,16,153
1452,1469,turning red,3,5,3,2
1453,1470,the grand budapest hotel,5,6,14,106
1454,1471,777 charlie,5,6,0,44
1455,1472,thelma &amp; louise,5,14,0,165
1456,1473,fantastic beasts: the crimes of grindelwald,5,16,15,66
1457,1474,the princess bride,5,16,15,66
1458,1475,moana,3,5,3,2
1459,1476,the blue lagoon,5,0,4,143
1460,1477,the parent trap,5,6,0,44
1461,1478,prometheus,5,10,11,74
1462,1479,the lion king,3,5,0,12
1463,1480,scooby-doo,5,6,17,13
1464,1481,the railway children return,5,0,17,96
1465,1482,idiocracy,5,6,11,33
1466,1483,ad astra,5,0,9,50
1467,1484,sen to chihiro no kamikakushi,3,5,17,27
1468,1485,cruella,5,6,14,106
1469,1486,the little mermaid,5,16,15,66
1470,1487,cars,3,5,3,2
1471,1488,harry potter and the goblet of fire,5,16,15,66
1472,1489,despicable me 3,3,5,3,2
1473,1490,fantastic beasts and where to find them,5,16,15,66
1474,1491,the green knight,5,0,15,90
1475,1492,toy story,3,5,3,2
1476,1493,aladdin,5,6,17,13
1477,1494,ratatouille,3,5,3,2
1478,1495,the neverending story,5,0,17,96
1479,1496,the martian,5,0,11,125
1480,1497,despicable me 2,3,5,3,2
1481,1498,zootopia,3,5,3,2
1482,1499,harry potter and the deathly hallows: part 1,5,16,15,66
1483,1500,legend,5,15,4,242
1484,1501,harry potter and the chamber of secrets,5,16,15,66
1485,1502,harry potter and the deathly hallows: part 2,5,15,9,132
1486,1503,charlie and the chocolate factory,5,6,17,13
1487,1504,luca,3,5,3,2
1488,1505,beauty and the beast,5,16,15,66
1489,1506,into the wild,5,13,0,124
1490,1507,chef,5,6,0,44
1491,1508,disenchanted,3,5,3,2
1492,1509,the wizard of oz,5,16,15,66
1493,1510,frozen,3,5,3,2
1494,1511,the twilight saga: breaking dawn - part 2,5,0,15,90
1495,1512,harry potter and the prisoner of azkaban,5,16,15,66
1496,1513,e.t. the extra-terrestrial,5,16,11,109
1497,1514,green lantern: beware my power,3,5,11,87
1498,1515,finding nemo,3,5,3,2
1499,1516,hauru no ugoku shiro,3,5,17,27
1500,1517,almost famous,5,6,0,44
1501,1518,without a paddle,5,6,9,243
1502,1519,"the chronicles of narnia: the lion, the witch and the wardrobe",5,16,15,66
1503,1520,hunt for the wilderpeople,5,6,0,44
1504,1521,"monsters, inc.",3,5,3,2
1505,1522,jumanji,5,6,17,13
1506,1523,back to the future part ii,5,6,11,33
1507,1524,shrek,3,5,3,2
1508,1525,only angels have wings,5,0,4,143
1509,1526,inside out,3,5,3,2
1510,1528,untitled super mario project,3,5,3,2
1511,1529,coco,3,5,3,2
1512,1530,toy story 4,3,5,3,2
1513,1531,soul,3,5,3,2
1514,1532,wonka,5,6,17,13
1515,1533,lo imposible,5,0,2,147
1516,1534,paddington 2,5,6,17,13
1517,1535,pinocchio,5,6,0,44
1518,1536,wall·e,3,5,17,27
1519,1537,mononoke-hime,3,5,15,53
1520,1538,up,3,5,3,2
1521,1539,hook,5,6,17,13
1522,1540,cold mountain,5,0,2,147
1523,1541,tangled,3,5,3,2
1524,1542,labyrinth,5,16,15,66
1525,1543,cast away,5,0,4,143
1526,1544,alice in wonderland,5,16,15,66
1527,1545,the mitchells vs the machines,3,5,3,2
1528,1546,big fish,5,0,15,90
1529,1547,spaceballs,5,6,11,33
1530,1548,elf,5,6,17,13
1531,1549,the peanut butter falcon,5,6,0,44
1532,1550,galaxy quest,5,6,11,33
1533,1551,fear and loathing in las vegas,5,6,0,44
1534,1552,madagascar,3,5,3,2
1535,1553,cinderella,5,0,17,96
1536,1554,rebel moon,5,0,15,90
1537,1557,stardust,5,16,15,66
1538,1558,a bug's life,3,5,3,2
1539,1559,toy story 3,3,5,3,2
1540,1560,vesper,5,0,11,125
1541,1561,robin hood: men in tights,5,6,8,142
1542,1562,disney's snow white,5,0,17,96
1543,1563,dogma,5,6,0,44
1544,1564,adventures in babysitting,5,6,14,106
1545,1565,the beach,5,0,4,143
1546,1566,percy jackson &amp; the olympians: the lightning thief,5,16,15,66
1547,1569,life of pi,5,0,15,90
1548,1570,the secret life of walter mitty,5,6,0,44
1549,1571,blood diamond,5,0,6,145
1550,1572,clifford the big red dog,3,5,3,2
1551,1573,apollo 13,5,0,2,147
1552,1574,sausage party,3,5,3,2
1553,1575,finch,5,0,11,125
1554,1576,holes,5,6,0,44
1555,1577,miss peregrine's home for peculiar children,5,0,17,96
